"Story","Title","Result","Date","Stability","Duration (s)"
"Login","Login with valid email and valid password","ERROR","2022-05-15T21:53:34.7587885+07:00[Asia/Jakarta]","0.0","150.2"
"Login","Login with invalid data","ERROR","2022-05-15T21:56:04.9660394+07:00[Asia/Jakarta]","0.0","98.0"
"Products","Products Increases","SUCCESS","2022-05-15T21:57:42.9742393+07:00[Asia/Jakarta]","0.0","29.44"
